title_of_work,year_of_creation,image_of_work,artist_name,work_url,artists_url,biological,environmental,of_non_living,commercial,personal,social,state,closed,open,shared,live,real_time,geospatial,static,temporal,anecdata,causal,generated,metadata,processed,retrieved,streamed,anonymised,identifiable,unknown,approved,of_other,notes,submitted_by
"Museum Week",2015,bright_variable_mw1.jpg,variable.io,http://variable.io/museum-week/,http://variable.io,,,,commercial,,,,closed,,,live,real-time,,,,,,,,processed,retrieved,streamed,,identifiable,,yes,,,marcin@variable.io
"Every Day of My Life",2012,every-day-of-my-life_1.jpg,"Marcin Ignac",http://variable.io/every-day-of-my-life/,http://marcinignac.com,,,,,personal,,,closed,,,,,,static,temporal,,,generated,,,,,anonymised,,,yes,,,marcin@variable.io
"Transport Network",2011,sea_02.png,"Marcin Ignac",http://variable.io/sea-transport-network/,http://marcinignac.com,,,,commercial,,,,closed,,,,,geospatial,static,temporal,,,,,,retrieved,,anonymised,,,yes,,,marcin@variable.io
Eunoia,2013,eunoia.jpg,"Lisa Park",http://thelisapark.com/#/eunoia,http://thelisapark.com/,biological,,,,personal,,,closed,,,live,real-time,,,,,,,,processed,,,,identifiable,,yes,,,JF
Metrography,2012,metrography_black_odi_cropped_small.jpg,"Benedikt Groß and Bertrand Clerc",http://benedikt-gross.de/log/2012/02/metrography-london-tube-map-to-large-scale-collective-mental-map/,"http://benedikt-gross.de/; http://bertrandclerc.com/",,environmental,,commercial,,,,closed,open,,,,geospatial,static,,,,,,processed,,,,identifiable,,yes,,,
"Text Trends",2008,texttrends_cropped_small.jpg,"Martin John Callanan",http://greyisgood.eu/texttrends/,http://greyisgood.eu/,,,,commercial,,social,state,,,shared,,,,static,temporal,,,,metadata,,retrieved,,anonymised,,,yes,,,
"Vending Machine",2009,vendingmachine_cropped_small.jpg,"Ellie Harrison",http://www.ellieharrison.com/index.php?pagecolor=3&pageId=project-vendingmachine,http://www.ellieharrison.com/,,,,commercial,,social,,,,shared,,real-time,,,,,,,,,retrieved,,,identifiable,,yes,,,
Fibers,2014,vreni.jpg,"Marcin Ignac",http://variable.io/fibers/,http://marcinignac.com,,,,commercial,personal,,,closed,,,,,,static,temporal,,causal,,,,,,anonymised,,,yes,"health, sport",,marcin@variable.io
Shoal,2010,troika_shoal.png,Troika,http://www.creativereview.co.uk/cr-blog/2010/october/troika-shoal-installation,http://troika.uk.com/,,,,,,,,,,,,,,,,,,generated,,processed,,,,,,yes,,"Troika have removed this work from their website",
Communion,2011,communion_field.jpg,"Field, Matt Pike",http://www.field.io/project/communion/,"http://www.field.io/ ; http://mattpyke.com",,,,,,,,,,,,real-time,,,temporal,,,generated,,processed,,,,,,yes,,,JF
"Unnamed Soundsculpture",2012,unnamedsoundsculpture_wide.jpg,Onformative,http://www.onformative.com/work/unnamed-soundsculpture/,http://www.onformative.com/,biological,,,,,,,closed,,,live,,,,temporal,,causal,generated,,processed,,,,identifiable,,yes,,,JF
"Southern Ocean Studies",2009,bas_03_thumb.jpg,"Gavin Baily; Tom Corby; Jonathan Mackenzie",http://www.reconnoitre.net/bas/,http://reconnoitre.net,,environmental,,,,,,,,,,real-time,,,,,,generated,,,,,,,,yes,,,
